                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1356,                0.82347,                 1.0998,                0.69014,                0.62007,                0.65569,                0.47136,                 1.1497,                 1.1502,                 1.1099,              0.0018456,              0.0018456,              0.0018456
                     80,                 1.0597,                0.76322,                 1.0726,                0.69014,                0.62007,                0.65569,                0.47136,                 1.1497,                 1.1502,                 1.1099,              0.0018436,              0.0018436,              0.0018436
                     81,                 1.5769,                0.84722,                 1.0839,                0.74122,                0.49889,                0.56224,                0.38106,                 1.3169,                 1.4844,                 1.2015,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.1941,                 0.8816,                 1.0836,                0.74122,                0.49889,                0.56224,                0.38106,                 1.3169,                 1.4844,                 1.2015,              0.0018396,              0.0018396,              0.0018396
                     83,                 1.3344,                 0.9411,                 1.1125,                0.71523,                0.57238,                0.60566,                0.43256,                  1.169,                 1.3527,                 1.1497,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.0876,                0.86046,                 1.0704,                0.71523,                0.57238,                0.60566,                0.43256,                  1.169,                 1.3527,                 1.1497,              0.0018357,              0.0018357,              0.0018357
                     85,                 1.1314,                0.93199,                 1.1329,                0.79245,                0.81069,                 0.8445,                0.52916,                 1.3223,                 1.1936,                 1.1217,              0.0018337,              0.0018337,              0.0018337
                     86,                  1.293,                0.84659,                 1.1036,                0.79245,                0.81069,                 0.8445,                0.52916,                 1.3223,                 1.1936,                 1.1217,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.4381,                0.88448,                 1.1044,                0.81158,                0.89216,                0.90549,                0.64527,                 1.0684,                 1.2589,                 1.0551,              0.0018297,              0.0018297,              0.0018297
                     88,                 1.1517,                0.86754,                 1.0707,                0.81158,                0.89216,                0.90549,                0.64527,                 1.0684,                 1.2589,                 1.0551,              0.0018277,              0.0018277,              0.0018277
                     89,                 1.0719,                0.85525,                 1.0781,                0.79788,                0.89677,                0.89207,                0.56774,                   1.22,                 1.6484,                 1.0685,              0.0018258,              0.0018258,              0.0018258
                     90,                 1.1911,                0.85124,                 1.0684,                0.79788,                0.89677,                0.89207,                0.56774,                   1.22,                 1.6484,                 1.0685,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.2724,                0.90186,                 1.1475,                0.78435,                0.89087,                  0.894,                0.58682,                 1.2292,                 1.5668,                 1.0642,              0.0018218,              0.0018218,              0.0018218
                     92,                 1.1848,                0.81959,                 1.0714,                0.78435,                0.89087,                  0.894,                0.58682,                 1.2292,                 1.5668,                 1.0642,              0.0018198,              0.0018198,              0.0018198
                     93,                 1.1564,                 0.8064,                 1.0634,                0.80113,                0.89722,                0.90102,                0.64442,                 1.0232,                 1.2695,                 1.0066,              0.0018178,              0.0018178,              0.0018178
                     94,                0.99498,                0.78818,                  1.053,                0.80113,                0.89722,                0.90102,                0.64442,                 1.0232,                 1.2695,                 1.0066,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.0746,                0.81805,                 1.0615,                0.79417,                0.88864,                0.88519,                0.59107,                 1.1654,                  1.434,                 1.0558,              0.0018139,              0.0018139,              0.0018139
                     96,                   1.14,                0.77333,                 1.0396,                0.79417,                0.88864,                0.88519,                0.59107,                 1.1654,                  1.434,                 1.0558,              0.0018119,              0.0018119,              0.0018119
                     97,                 1.0333,                0.77627,                 1.0536,                0.75496,                0.90577,                0.83335,                0.63088,                0.97341,                 1.5925,                0.99926,              0.0018099,              0.0018099,              0.0018099
                     98,                0.95401,                0.78046,                0.99037,                0.75496,                0.90577,                0.83335,                0.63088,                0.97341,                 1.5925,                0.99926,              0.0018079,              0.0018079,              0.0018079
                     99,                0.99487,                0.79277,                 1.0497,                0.80024,                0.88331,                0.88916,                0.61894,                 1.0842,                 1.3444,                 1.0192,               0.001806,               0.001806,               0.001806
                    100,                 1.1305,                0.83453,                 1.0791,                0.80024,                0.88331,                0.88916,                0.61894,                 1.0842,                 1.3444,                 1.0192,               0.001804,               0.001804,               0.001804
                    101,                 1.1067,                 0.7676,                 1.0411,                0.81313,                0.88641,                0.92378,                0.68944,                0.90031,                   1.11,                0.97755,               0.001802,               0.001802,               0.001802
                    102,                0.92772,                0.75365,                 1.0164,                0.81313,                0.88641,                0.92378,                0.68944,                0.90031,                   1.11,                0.97755,                 0.0018,                 0.0018,                 0.0018
                    103,                0.96468,                0.73618,                0.99392,                0.81136,                0.89755,                0.92772,                0.67523,                0.96997,                 1.3058,                0.98789,               0.001798,               0.001798,               0.001798
                    104,                 1.2415,                0.76759,                 1.0283,                0.81136,                0.89755,                0.92772,                0.67523,                0.96997,                 1.3058,                0.98789,              0.0017961,              0.0017961,              0.0017961
                    105,                  1.186,                0.79462,                 1.0332,                0.81777,                0.87528,                0.91578,                0.69461,                0.88263,                 1.2844,                0.96691,              0.0017941,              0.0017941,              0.0017941
                    106,                0.99333,                0.72715,                 1.0282,                0.81777,                0.87528,                0.91578,                0.69461,                0.88263,                 1.2844,                0.96691,              0.0017921,              0.0017921,              0.0017921
