                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.7225,                 0.9669,                 1.4182,                0.00021,                0.00223,                0.00011,                  1e-05,                 6.4898,                 3.7678,                 4.0865,               0.001897,               0.001897,               0.001897
                     54,                 1.4788,                 1.0505,                 1.3796,                0.00021,                0.00223,                0.00011,                  1e-05,                 6.4898,                 3.7678,                 4.0865,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.6691,                 1.0306,                 1.2971,                0.00635,                0.08463,                0.03589,                0.00731,                 5.1135,                  2.867,                 3.2708,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.3061,                0.94546,                 1.2099,                0.00635,                0.08463,                0.03589,                0.00731,                 5.1135,                  2.867,                 3.2708,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.5345,                 1.0352,                 1.2358,                0.31983,                0.32674,                0.23219,                0.07656,                 2.7297,                 1.9338,                 2.5235,              0.0018891,              0.0018891,              0.0018891
                     58,                 1.4658,                0.93255,                 1.1905,                0.31983,                0.32674,                0.23219,                0.07656,                 2.7297,                 1.9338,                 2.5235,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.3813,                0.95733,                 1.2493,                0.27025,                0.53452,                0.26263,                0.08729,                 2.2858,                 1.6542,                 2.0345,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.1574,                0.94138,                 1.1924,                0.27025,                0.53452,                0.26263,                0.08729,                 2.2858,                 1.6542,                 2.0345,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.3395,                0.95911,                 1.1928,                0.40225,                0.58751,                0.41878,                0.13797,                 1.8475,                 1.4013,                 1.6781,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.4731,                 1.0008,                 1.2512,                0.40225,                0.58751,                0.41878,                0.13797,                 1.8475,                 1.4013,                 1.6781,              0.0018792,              0.0018792,              0.0018792
                     63,                  1.554,                 1.0221,                 1.2271,                0.48463,                0.64296,                0.55968,                0.21293,                 1.7208,                 1.2793,                 1.4851,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.3702,                 1.0183,                 1.3012,                0.48463,                0.64296,                0.55968,                0.21293,                 1.7208,                 1.2793,                 1.4851,              0.0018753,              0.0018753,              0.0018753
