                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1028,                0.82573,                 1.1408,                 0.7891,                0.85078,                0.88465,                0.57863,                 1.2586,                0.87754,                 1.2407,              0.0018456,              0.0018456,              0.0018456
                     80,                  1.072,                0.77862,                 1.1405,                 0.7891,                0.85078,                0.88465,                0.57863,                 1.2586,                0.87754,                 1.2407,              0.0018436,              0.0018436,              0.0018436
                     81,                 1.3753,                0.84442,                 1.0963,                0.78856,                0.87082,                 0.8832,                0.59658,                 1.2504,                0.95468,                 1.2137,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.1489,                0.86503,                 1.1025,                0.78856,                0.87082,                 0.8832,                0.59658,                 1.2504,                0.95468,                 1.2137,              0.0018396,              0.0018396,              0.0018396
                     83,                 1.2854,                0.89514,                 1.1437,                0.79786,                0.85746,                0.89372,                0.66619,                0.98645,                0.87093,                 1.1254,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.0566,                0.81077,                 1.1085,                0.79786,                0.85746,                0.89372,                0.66619,                0.98645,                0.87093,                 1.1254,              0.0018357,              0.0018357,              0.0018357
                     85,                  1.129,                 0.9067,                 1.1878,                0.76352,                  0.902,                0.89756,                 0.6513,                 1.0773,                0.83907,                 1.1378,              0.0018337,              0.0018337,              0.0018337
                     86,                 1.1742,                 0.8389,                 1.1467,                0.76352,                  0.902,                0.89756,                 0.6513,                 1.0773,                0.83907,                 1.1378,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.2747,                0.86461,                 1.1243,                 0.7617,                0.88419,                0.88975,                0.64307,                 1.0717,                0.84627,                 1.1363,              0.0018297,              0.0018297,              0.0018297
                     88,                 1.1582,                0.86367,                 1.1334,                 0.7617,                0.88419,                0.88975,                0.64307,                 1.0717,                0.84627,                 1.1363,              0.0018277,              0.0018277,              0.0018277
                     89,                  1.132,                0.86338,                 1.1477,                0.74842,                0.88122,                0.87894,                0.58666,                 1.1966,                0.94596,                 1.1349,              0.0018258,              0.0018258,              0.0018258
                     90,                 1.1206,                0.83978,                 1.1221,                0.74842,                0.88122,                0.87894,                0.58666,                 1.1966,                0.94596,                 1.1349,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.1767,                0.89616,                 1.2008,                0.80604,                0.86076,                0.89813,                0.61427,                 1.1329,                0.93859,                 1.1161,              0.0018218,              0.0018218,              0.0018218
                     92,                 1.0504,                0.81613,                 1.0902,                0.80604,                0.86076,                0.89813,                0.61427,                 1.1329,                0.93859,                 1.1161,              0.0018198,              0.0018198,              0.0018198
                     93,                 1.0558,                0.78565,                 1.1035,                0.82328,                 0.8686,                0.91324,                0.69255,                0.97921,                0.89693,                 1.0822,              0.0018178,              0.0018178,              0.0018178
                     94,                 1.0144,                0.82406,                 1.1233,                0.82328,                 0.8686,                0.91324,                0.69255,                0.97921,                0.89693,                 1.0822,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.0671,                0.81459,                 1.1458,                0.77536,                0.89532,                0.88473,                0.65938,                 1.0054,                0.97372,                 1.0895,              0.0018139,              0.0018139,              0.0018139
                     96,                 1.1082,                0.80686,                 1.0899,                0.77536,                0.89532,                0.88473,                0.65938,                 1.0054,                0.97372,                 1.0895,              0.0018119,              0.0018119,              0.0018119
                     97,                 1.0336,                0.80775,                 1.1122,                0.77571,                0.88864,                0.86839,                0.64044,                 1.0035,                 1.0279,                 1.0843,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.0945,                0.84462,                 1.0756,                0.77571,                0.88864,                0.86839,                0.64044,                 1.0035,                 1.0279,                 1.0843,              0.0018079,              0.0018079,              0.0018079
                     99,                 1.1437,                0.84285,                 1.1663,                 0.8039,                 0.8686,                0.89967,                0.66534,                0.98811,                0.97387,                  1.065,               0.001806,               0.001806,               0.001806
                    100,                 1.0406,                0.85184,                 1.1364,                 0.8039,                 0.8686,                0.89967,                0.66534,                0.98811,                0.97387,                  1.065,               0.001804,               0.001804,               0.001804
                    101,                 1.0275,                0.77628,                 1.1052,                0.82987,                0.86913,                0.91795,                0.69836,                0.92603,                0.93777,                 1.0503,               0.001802,               0.001802,               0.001802
                    102,                 1.0078,                0.78451,                 1.0864,                0.82987,                0.86913,                0.91795,                0.69836,                0.92603,                0.93777,                 1.0503,                 0.0018,                 0.0018,                 0.0018
                    103,                 1.0153,                0.76741,                 1.0707,                0.83195,                0.85746,                0.91936,                0.70088,                0.87157,                0.90482,                 1.0328,               0.001798,               0.001798,               0.001798
                    104,                0.99643,                0.76133,                  1.037,                0.83195,                0.85746,                0.91936,                0.70088,                0.87157,                0.90482,                 1.0328,              0.0017961,              0.0017961,              0.0017961
                    105,                0.97903,                0.81614,                 1.0575,                0.84649,                0.84633,                0.91862,                0.66701,                 1.0425,                0.95906,                  1.065,              0.0017941,              0.0017941,              0.0017941
                    106,                 1.0653,                0.81126,                 1.1207,                0.84649,                0.84633,                0.91862,                0.66701,                 1.0425,                0.95906,                  1.065,              0.0017921,              0.0017921,              0.0017921
                    107,                 1.0388,                0.78215,                 1.0846,                0.83193,                0.87095,                0.91603,                0.68373,                0.99854,                0.90715,                 1.0644,              0.0017901,              0.0017901,              0.0017901
                    108,                0.98673,                 0.8011,                 1.0409,                0.83193,                0.87095,                0.91603,                0.68373,                0.99854,                0.90715,                 1.0644,              0.0017881,              0.0017881,              0.0017881
                    109,                 1.0162,                0.81224,                 1.1059,                 0.7916,                0.90646,                0.90604,                0.70356,                0.91398,                0.83579,                 1.0476,              0.0017862,              0.0017862,              0.0017862
                    110,                 1.1731,                0.83109,                 1.0687,                 0.7916,                0.90646,                0.90604,                0.70356,                0.91398,                0.83579,                 1.0476,              0.0017842,              0.0017842,              0.0017842
