                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.4158,                0.93098,                 1.1667,                0.78804,                0.88419,                0.91291,                0.65034,                 1.0585,                0.84039,                 1.1091,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.0784,                 0.8461,                 1.1132,                0.78804,                0.88419,                0.91291,                0.65034,                 1.0585,                0.84039,                 1.1091,              0.0018357,              0.0018357,              0.0018357
                     85,                  1.165,                0.92829,                 1.1826,                0.80917,                0.85969,                0.90203,                0.53069,                  1.431,                0.89163,                 1.2201,              0.0018337,              0.0018337,              0.0018337
                     86,                 1.4143,                0.92242,                 1.1959,                0.80917,                0.85969,                0.90203,                0.53069,                  1.431,                0.89163,                 1.2201,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.5497,                  0.926,                 1.1798,                0.72851,                0.85078,                0.80752,                0.47898,                 1.4445,                 1.2866,                  1.216,              0.0018297,              0.0018297,              0.0018297
                     88,                 1.3153,                0.93709,                 1.1459,                0.72851,                0.85078,                0.80752,                0.47898,                 1.4445,                 1.2866,                  1.216,              0.0018277,              0.0018277,              0.0018277
                     89,                 1.2868,                0.88844,                 1.1572,                0.68381,                0.87973,                0.76534,                0.55998,                 1.0055,                 1.4208,                 1.0666,              0.0018258,              0.0018258,              0.0018258
                     90,                  1.161,                0.96502,                  1.097,                0.68381,                0.87973,                0.76534,                0.55998,                 1.0055,                 1.4208,                 1.0666,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.1946,                0.95314,                 1.1691,                0.78659,                0.85374,                0.87332,                0.59325,                 1.2117,                  1.206,                  1.099,              0.0018218,              0.0018218,              0.0018218
                     92,                  1.208,                0.85379,                 1.1015,                0.78659,                0.85374,                0.87332,                0.59325,                 1.2117,                  1.206,                  1.099,              0.0018198,              0.0018198,              0.0018198
                     93,                 1.2523,                0.83646,                 1.1227,                0.79036,                0.90869,                0.90872,                0.68008,                 1.0249,                0.96611,                 1.0403,              0.0018178,              0.0018178,              0.0018178
                     94,                   1.05,                0.85663,                 1.1076,                0.79036,                0.90869,                0.90872,                0.68008,                 1.0249,                0.96611,                 1.0403,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.0848,                0.85815,                 1.1176,                0.83861,                0.86637,                0.90716,                0.59971,                 1.3311,                 1.0055,                 1.1384,              0.0018139,              0.0018139,              0.0018139
                     96,                 1.3551,                0.85149,                 1.1239,                0.83861,                0.86637,                0.90716,                0.59971,                 1.3311,                 1.0055,                 1.1384,              0.0018119,              0.0018119,              0.0018119
                     97,                 1.2833,                0.88647,                 1.1378,                0.77886,                0.88638,                0.86761,                0.51269,                 1.5278,                 1.2963,                 1.2053,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.3939,                0.86785,                 1.1033,                0.77886,                0.88638,                0.86761,                0.51269,                 1.5278,                 1.2963,                 1.2053,              0.0018079,              0.0018079,              0.0018079
                     99,                 1.3005,                0.90224,                 1.1689,                0.68579,                0.88954,                0.72989,                0.45711,                 1.3096,                  2.037,                 1.1351,               0.001806,               0.001806,               0.001806
                    100,                 1.0553,                0.92867,                 1.1345,                0.68579,                0.88954,                0.72989,                0.45711,                 1.3096,                  2.037,                 1.1351,               0.001804,               0.001804,               0.001804
                    101,                 1.0988,                0.89826,                 1.0974,                0.73716,                0.89532,                 0.8197,                0.58649,                 1.0527,                 1.8485,                 1.0504,               0.001802,               0.001802,               0.001802
                    102,                 1.1575,                 0.8924,                 1.1143,                0.73716,                0.89532,                 0.8197,                0.58649,                 1.0527,                 1.8485,                 1.0504,                 0.0018,                 0.0018,                 0.0018
                    103,                 1.1294,                0.86973,                 1.0851,                0.77404,                0.89755,                0.90311,                 0.6996,                0.88479,                 1.4196,                0.99931,               0.001798,               0.001798,               0.001798
                    104,                 0.9767,                 0.7804,                 1.0178,                0.77404,                0.89755,                0.90311,                 0.6996,                0.88479,                 1.4196,                0.99931,              0.0017961,              0.0017961,              0.0017961
                    105,                 1.0247,                 0.8645,                 1.0396,                0.81158,                  0.873,                0.91193,                0.67194,                 0.9732,                 1.0489,                 1.0348,              0.0017941,              0.0017941,              0.0017941
                    106,                 1.0328,                0.83043,                 1.0782,                0.81158,                  0.873,                0.91193,                0.67194,                 0.9732,                 1.0489,                 1.0348,              0.0017921,              0.0017921,              0.0017921
                    107,                  1.028,                0.84474,                 1.0564,                0.80247,                0.89532,                0.91495,                0.66966,                0.97711,                 1.1351,                 1.0243,              0.0017901,              0.0017901,              0.0017901
                    108,                 1.0462,                0.82304,                 1.0165,                0.80247,                0.89532,                0.91495,                0.66966,                0.97711,                 1.1351,                 1.0243,              0.0017881,              0.0017881,              0.0017881
                    109,                 1.0443,                0.85053,                 1.0795,                0.78137,                0.89947,                0.88246,                0.65184,                 1.0011,                 1.2446,                  1.013,              0.0017862,              0.0017862,              0.0017862
                    110,                 1.1611,                0.87832,                 1.0387,                0.78137,                0.89947,                0.88246,                0.65184,                 1.0011,                 1.2446,                  1.013,              0.0017842,              0.0017842,              0.0017842
                    111,                  1.098,                0.84129,                 1.0372,                0.73749,                0.90646,                0.84038,                0.65217,                0.89918,                 1.3234,                0.99111,              0.0017822,              0.0017822,              0.0017822
                    112,                0.95895,                0.84243,                 1.0579,                0.73749,                0.90646,                0.84038,                0.65217,                0.89918,                 1.3234,                0.99111,              0.0017802,              0.0017802,              0.0017802
                    113,                 1.0024,                0.83007,                 1.0986,                0.76444,                0.90869,                 0.8717,                0.66455,                0.92797,                  1.129,                0.99843,              0.0017782,              0.0017782,              0.0017782
                    114,                0.92152,                0.79762,                 1.0767,                0.76444,                0.90869,                 0.8717,                0.66455,                0.92797,                  1.129,                0.99843,              0.0017763,              0.0017763,              0.0017763
                    115,                0.97923,                0.77894,                 1.0374,                0.82761,                0.85538,                 0.9167,                0.71088,                0.83911,                 0.8631,                0.98427,              0.0017743,              0.0017743,              0.0017743
                    116,                0.92594,                0.77269,                 1.0496,                0.82761,                0.85538,                 0.9167,                0.71088,                0.83911,                 0.8631,                0.98427,              0.0017723,              0.0017723,              0.0017723
                    117,                0.94735,                0.76124,                 1.0176,                0.81347,                0.87418,                0.90446,                0.67755,                0.90281,                0.87655,                0.99673,              0.0017703,              0.0017703,              0.0017703
                    118,                0.99287,                0.81108,                  1.056,                0.81347,                0.87418,                0.90446,                0.67755,                0.90281,                0.87655,                0.99673,              0.0017683,              0.0017683,              0.0017683
                    119,                 0.9283,                0.83653,                 1.0406,                 0.8238,                0.86426,                0.91813,                 0.7062,                0.84875,                0.85409,                0.97842,              0.0017664,              0.0017664,              0.0017664
                    120,                 1.1771,                0.94736,                 1.0078,                 0.8238,                0.86426,                0.91813,                 0.7062,                0.84875,                0.85409,                0.97842,              0.0017644,              0.0017644,              0.0017644
